위도,경도,경쟁업체 개수
37.4647308,126.67983,1
37.4637583,126.680038,1
37.4638369,126.679122,1
37.4584145,126.689803,1
37.4637423,126.694325,1
37.4482159,126.679991,1
37.4480267,126.676703,1
37.4393323,126.673566,1
37.4413973,126.70131,1
37.4514136,126.657284,1
37.4477678,126.649209,1
37.4450987,126.642509,1
37.4426741,126.663618,1
37.4395572,126.660694,1
37.4700148,126.665123,1
37.4710267,126.662926,1
37.4712874,126.662732,1
37.4659537,126.656573,1
37.4664787,126.657385,1
37.4666923,126.644373,1
37.459284,126.643685,1
37.4517878,126.637821,1
37.4517383,126.657396,1